time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
30.0,-0.3637698663221151,-0.11983137757901013,-0.40989748531414505,-0.37664496012940935,-0.1787390041895065,0.4557997483219474,962.3148215008274
31.0,-0.37826555218037317,-0.1219155696141992,-0.4250689403491175,-0.3897911425350118,-0.1899850730641052,0.4709392110798063,962.3148215008274
32.0,-0.3928541791534549,-0.12364907098909333,-0.44020948125265896,-0.4030867506869341,-0.20155919837397915,0.4859594766683864,962.3148215008274
33.0,-0.4074545844372203,-0.12510975132427815,-0.455324303763687,-0.4164587992582423,-0.21346312818406693,0.5010778635159293,962.3148215008274
34.0,-0.4220493503750312,-0.1262273188229217,-0.4705172561934101,-0.4297990788606712,-0.225894316024879,0.5162078931121047,962.3148215008274
35.0,-0.43664143292784363,-0.12700205794171268,-0.4858430374515134,-0.44279921713758286,-0.23858336219659965,0.5312065762141275,962.3148215008274
36.0,-0.4512832627664425,-0.12746201347855396,-0.5012611466211624,-0.45542776079358116,-0.25150781631935976,0.5459574087501938,962.3148215008274
37.0,-0.46593283174993855,-0.12758475995117374,-0.5167694384372261,-0.46765399573680216,-0.26451108049491573,0.5601734702878944,962.3148215008274
38.0,-0.48065869814520235,-0.127289252250931,-0.5323386420544389,-0.47953894298400057,-0.27762773462485363,0.5737337450245513,962.3148215008274
39.0,-0.49540731248743813,-0.12666792545513555,-0.5478980504642272,-0.4909076371718979,-0.29088525779927443,0.5867573540085248,962.3148215008274
40.0,-0.5101557863762465,-0.1258203665331529,-0.5634665750706835,-0.5016736402568633,-0.3039062947019513,0.5991254619274613,962.3148215008274
41.0,-0.5248866766382596,-0.12489743294689419,-0.5791252989565614,-0.511754558943586,-0.31676593690970534,0.6108558204577395,962.3148215008274
42.0,-0.5395990792932642,-0.12398643181020051,-0.5948554694016992,-0.5211201905847127,-0.3291735433644289,0.6222363804771782,962.3148215008274
43.0,-0.5542872562382775,-0.12318239678207274,-0.6105140386292727,-0.5297546611082086,-0.34121732616715594,0.6331528433276241,962.3148215008274
44.0,-0.5689688491422553,-0.12226601072381066,-0.6261099143642295,-0.5377999340319437,-0.35290659702903876,0.6434649737431947,962.3148215008274
45.0,-0.5836908947527115,-0.1210286799593406,-0.6415416437261227,-0.5454622443886026,-0.3644258613926327,0.6530929001706592,962.3148215008274
46.0,-0.5984246205277606,-0.11970443225397717,-0.6567817457672731,-0.552609525853791,-0.3758763256722615,0.662003219601866,962.3148215008274
